pagamentoid,ano,mes,dia,periodo,datavencimento,datapagamento,contaid,conta,tipo,tipopagamento,valor,Pago
86,2007,4,30,2007-04,2007-04-30,2007-04-30,22,conta-22,Fornecedor,Dinheiro,200.15,Falta Pagar
87,2007,4,30,2007-04,2007-04-30,2007-04-30,23,conta-23,Fornecedor,Dinheiro,11.86,Falta Pagar
88,2007,4,30,2007-04,2007-04-30,2007-04-30,40,conta-40,Fornecedor,Dinheiro,106.90,Falta Pagar
89,2007,4,30,2007-04,2007-04-30,2007-04-30,51,conta-51,Fornecedor,Dinheiro,213.48,Falta Pagar
180,2007,1,26,2007-01,2007-01-26,2007-01-26,24,conta-24,Fornecedor,Dinheiro,85.19,Falta Pagar
181,2007,1,26,2007-01,2007-01-26,2007-01-26,22,conta-22,Fornecedor,Dinheiro,142.59,Falta Pagar
182,2007,1,27,2007-01,2007-01-27,2007-01-27,22,conta-22,Fornecedor,Dinheiro,142.59,Falta Pagar
183,2007,1,27,2007-01,2007-01-27,2007-01-27,22,conta-22,Fornecedor,Dinheiro,142.59,Falta Pagar
184,2007,1,28,2007-01,2007-01-28,2007-01-28,27,conta-27,Fornecedor,Dinheiro,221.55,Falta Pagar
185,2007,1,28,2007-01,2007-01-28,2007-01-28,33,conta-33,Fornecedor,Dinheiro,80.00,Falta Pagar
186,2007,1,28,2007-01,2007-01-28,2007-01-28,25,conta-25,Despesa,Dinheiro,65.00,Falta Pagar
189,2007,1,30,2007-01,2007-01-30,2007-01-30,22,conta-22,Fornecedor,Dinheiro,142.59,Falta Pagar
190,2007,1,30,2007-01,2007-01-30,2007-01-30,22,conta-22,Fornecedor,Dinheiro,142.59,Falta Pagar
191,2007,1,31,2007-01,2007-01-31,2007-01-31,20,conta-20,Divida,Boleto,204.50,Pago
192,2007,1,31,2007-01,2007-01-31,2007-01-31,157,conta-157,Despesa,Dinheiro,113.12,Falta Pagar
195,2007,2,1,2007-02,2007-02-01,2007-02-01,22,conta-22,Fornecedor,Dinheiro,142.59,Falta Pagar
196,2007,2,1,2007-02,2007-02-01,2007-02-01,22,conta-22,Fornecedor,Dinheiro,142.59,Falta Pagar
197,2007,2,2,2007-02,2007-02-02,2007-02-02,24,conta-24,Fornecedor,Dinheiro,82.68,Falta Pagar
198,2007,2,2,2007-02,2007-02-02,2007-02-02,32,conta-32,Fornecedor,Dinheiro,140.00,Falta Pagar
199,2007,2,4,2007-02,2007-02-04,2007-02-04,27,conta-27,Fornecedor,Dinheiro,202.45,Falta Pagar
200,2007,2,4,2007-02,2007-02-04,2007-02-04,35,conta-35,Fornecedor,Dinheiro,135.52,Falta Pagar
201,2007,2,4,2007-02,2007-02-04,2007-02-04,22,conta-22,Fornecedor,Dinheiro,142.59,Falta Pagar
202,2007,2,5,2007-02,2007-02-05,2007-02-05,35,conta-35,Fornecedor,Dinheiro,134.08,Falta Pagar
203,2007,2,6,2007-02,2007-02-06,2007-02-06,22,conta-22,Fornecedor,Dinheiro,142.59,Falta Pagar
206,2007,2,7,2007-02,2007-02-07,2007-02-07,42,conta-42,Fornecedor,Dinheiro,130.00,Falta Pagar
207,2007,2,7,2007-02,2007-02-07,2007-02-07,33,conta-33,Fornecedor,Dinheiro,135.00,Falta Pagar
208,2007,2,8,2007-02,2007-02-08,2007-02-08,49,conta-49,Fornecedor,Dinheiro,364.50,Falta Pagar
209,2007,2,8,2007-02,2007-02-08,2007-02-08,29,conta-29,Fornecedor,Dinheiro,277.60,Falta Pagar
210,2007,2,8,2007-02,2007-02-08,2007-02-08,49,conta-49,Fornecedor,Dinheiro,292.65,Falta Pagar
211,2007,2,9,2007-02,2007-02-09,2007-02-09,24,conta-24,Fornecedor,Dinheiro,82.68,Falta Pagar
212,2007,2,9,2007-02,2007-02-09,2007-02-09,61,conta-61,Fornecedor,Dinheiro,201.60,Falta Pagar
213,2007,2,9,2007-02,2007-02-09,2007-02-09,22,conta-22,Fornecedor,Dinheiro,142.59,Falta Pagar
217,2007,2,10,2007-02,2007-02-10,2007-02-10,55,conta-55,Fornecedor,Dinheiro,235.51,Falta Pagar
219,2007,2,11,2007-02,2007-02-11,2007-02-11,22,conta-22,Fornecedor,Dinheiro,134.75,Falta Pagar
220,2007,2,11,2007-02,2007-02-11,2007-02-11,23,conta-23,Fornecedor,Dinheiro,7.91,Falta Pagar
221,2007,2,12,2007-02,2007-02-12,2007-02-12,27,conta-27,Fornecedor,Dinheiro,221.41,Falta Pagar
222,2007,2,12,2007-02,2007-02-12,2007-02-12,26,conta-26,Despesa,Dinheiro,200.57,Falta Pagar
224,2007,2,13,2007-02,2007-02-13,2007-02-13,33,conta-33,Fornecedor,Dinheiro,140.00,Falta Pagar
225,2007,2,13,2007-02,2007-02-13,2007-02-13,33,conta-33,Fornecedor,Dinheiro,80.00,Falta Pagar
226,2007,2,14,2007-02,2007-02-14,2007-02-14,62,conta-62,Fornecedor,Dinheiro,214.92,Falta Pagar
227,2007,2,14,2007-02,2007-02-14,2007-02-14,6,conta-6,Despesa,Dinheiro,131.39,Falta Pagar
228,2007,2,14,2007-02,2007-02-14,2007-02-14,7,conta-7,Despesa,Dinheiro,60.48,Falta Pagar
230,2007,2,15,2007-02,2007-02-15,2007-02-15,33,conta-33,Fornecedor,Dinheiro,135.00,Falta Pagar
231,2007,2,15,2007-02,2007-02-15,2007-02-15,32,conta-32,Fornecedor,Dinheiro,120.00,Falta Pagar
235,2007,2,16,2007-02,2007-02-16,2007-02-16,33,conta-33,Fornecedor,Dinheiro,150.00,Falta Pagar
236,2007,2,16,2007-02,2007-02-16,2007-02-16,23,conta-23,Fornecedor,Dinheiro,7.91,Falta Pagar
238,2007,2,16,2007-02,2007-02-16,2007-02-16,22,conta-22,Fornecedor,Dinheiro,134.75,Falta Pagar
239,2007,2,17,2007-02,2007-02-17,2007-02-17,22,conta-22,Fornecedor,Dinheiro,134.75,Falta Pagar
240,2007,2,17,2007-02,2007-02-17,2007-02-17,23,conta-23,Fornecedor,Dinheiro,7.91,Falta Pagar
241,2007,2,18,2007-02,2007-02-18,2007-02-18,35,conta-35,Fornecedor,Dinheiro,152.94,Falta Pagar
242,2007,2,19,2007-02,2007-02-19,2007-02-19,27,conta-27,Fornecedor,Dinheiro,202.33,Falta Pagar
243,2007,2,19,2007-02,2007-02-19,2007-02-19,35,conta-35,Fornecedor,Dinheiro,135.52,Falta Pagar
244,2007,2,19,2007-02,2007-02-19,2007-02-19,22,conta-22,Fornecedor,Dinheiro,143.01,Falta Pagar
245,2007,2,19,2007-02,2007-02-19,2007-02-19,40,conta-40,Fornecedor,Dinheiro,122.10,Falta Pagar
246,2007,2,19,2007-02,2007-02-19,2007-02-19,29,conta-29,Fornecedor,Dinheiro,66.30,Falta Pagar
247,2007,2,19,2007-02,2007-02-19,2007-02-19,42,conta-42,Fornecedor,Dinheiro,118.20,Falta Pagar
248,2007,2,19,2007-02,2007-02-19,2007-02-19,48,conta-48,Fornecedor,Dinheiro,25.00,Falta Pagar
250,2007,2,20,2007-02,2007-02-20,2007-02-20,33,conta-33,Fornecedor,Dinheiro,100.00,Falta Pagar
252,2007,2,20,2007-02,2007-02-20,2007-02-20,23,conta-23,Fornecedor,Dinheiro,7.91,Falta Pagar
253,2007,2,20,2007-02,2007-02-20,2007-02-20,22,conta-22,Fornecedor,Dinheiro,134.75,Falta Pagar
254,2007,2,21,2007-02,2007-02-21,2007-02-21,33,conta-33,Fornecedor,Dinheiro,124.00,Falta Pagar
255,2007,2,21,2007-02,2007-02-21,2007-02-21,35,conta-35,Fornecedor,Dinheiro,134.00,Falta Pagar
256,2007,2,21,2007-02,2007-02-21,2007-02-21,23,conta-23,Fornecedor,Dinheiro,7.90,Falta Pagar
257,2007,2,21,2007-02,2007-02-21,2007-02-21,22,conta-22,Fornecedor,Dinheiro,134.79,Falta Pagar
258,2007,2,21,2007-02,2007-02-21,2007-02-21,21,conta-21,Imposto,Dinheiro,37.58,Falta Pagar
259,2007,2,22,2007-02,2007-02-22,2007-02-22,22,conta-22,Fornecedor,Dinheiro,134.75,Falta Pagar
260,2007,2,22,2007-02,2007-02-22,2007-02-22,23,conta-23,Fornecedor,Dinheiro,7.91,Falta Pagar
261,2007,2,23,2007-02,2007-02-23,2007-02-23,24,conta-24,Fornecedor,Dinheiro,101.35,Falta Pagar
263,2007,2,24,2007-02,2007-02-24,2007-02-24,33,conta-33,Fornecedor,Dinheiro,115.00,Falta Pagar
264,2007,2,24,2007-02,2007-02-24,2007-02-24,22,conta-22,Fornecedor,Dinheiro,134.76,Falta Pagar
265,2007,2,24,2007-02,2007-02-24,2007-02-24,23,conta-23,Fornecedor,Dinheiro,7.91,Falta Pagar
266,2007,2,25,2007-02,2007-02-25,2007-02-25,13,conta-13,Despesa,Dinheiro,79.42,Falta Pagar
267,2007,2,25,2007-02,2007-02-25,2007-02-25,23,conta-23,Fornecedor,Dinheiro,7.91,Falta Pagar
268,2007,2,25,2007-02,2007-02-25,2007-02-25,22,conta-22,Fornecedor,Dinheiro,134.75,Falta Pagar
360,2007,3,25,2007-03,2007-03-25,2007-03-25,66,conta-66,Despesa,Dinheiro,69.80,Falta Pagar
362,2007,3,26,2007-03,2007-03-26,2007-03-26,49,conta-49,Fornecedor,Dinheiro,312.47,Falta Pagar
363,2007,3,26,2007-03,2007-03-26,2007-03-26,22,conta-22,Fornecedor,Dinheiro,404.29,Falta Pagar
364,2007,3,26,2007-03,2007-03-26,2007-03-26,23,conta-23,Fornecedor,Dinheiro,23.72,Falta Pagar
365,2007,3,27,2007-03,2007-03-27,2007-03-27,25,conta-25,Despesa,Dinheiro,65.00,Falta Pagar
366,2007,3,27,2007-03,2007-03-27,2007-03-27,32,conta-32,Fornecedor,Dinheiro,100.00,Falta Pagar
367,2007,3,27,2007-03,2007-03-27,2007-03-27,13,conta-13,Despesa,Dinheiro,88.93,Falta Pagar
368,2007,3,27,2007-03,2007-03-27,2007-03-27,22,conta-22,Fornecedor,Dinheiro,202.15,Falta Pagar
369,2007,3,27,2007-03,2007-03-27,2007-03-27,23,conta-23,Fornecedor,Dinheiro,11.86,Falta Pagar
371,2007,3,28,2007-03,2007-03-28,2007-03-28,35,conta-35,Fornecedor,Dinheiro,176.55,Falta Pagar
374,2007,3,29,2007-03,2007-03-29,2007-03-29,27,conta-27,Fornecedor,Dinheiro,374.36,Falta Pagar
375,2007,3,29,2007-03,2007-03-29,2007-03-29,27,conta-27,Fornecedor,Dinheiro,436.53,Falta Pagar
376,2007,3,29,2007-03,2007-03-29,2007-03-29,36,conta-36,Fornecedor,Dinheiro,234.00,Falta Pagar
377,2007,3,30,2007-03,2007-03-30,2007-03-30,32,conta-32,Fornecedor,Dinheiro,110.00,Falta Pagar
378,2007,3,30,2007-03,2007-03-30,2007-03-30,38,conta-38,Fornecedor,Dinheiro,148.76,Falta Pagar
379,2007,3,30,2007-03,2007-03-30,2007-03-30,20,conta-20,Divida,Boleto,206.67,Pago
381,2007,5,1,2007-05,2007-05-01,2007-05-01,22,conta-22,Fornecedor,Dinheiro,200.14,Falta Pagar
382,2007,5,1,2007-05,2007-05-01,2007-05-01,23,conta-23,Fornecedor,Dinheiro,11.86,Falta Pagar
384,2007,5,2,2007-05,2007-05-02,2007-05-02,24,conta-24,Fornecedor,Dinheiro,94.93,Falta Pagar
385,2007,5,3,2007-05,2007-05-03,2007-05-03,32,conta-32,Fornecedor,Dinheiro,120.00,Falta Pagar
386,2007,5,3,2007-05,2007-05-03,2007-05-03,54,conta-54,Fornecedor,Dinheiro,124.35,Falta Pagar
404,2007,5,5,2007-05,2007-05-05,2007-05-05,32,conta-32,Fornecedor,Dinheiro,303.81,Falta Pagar
405,2007,5,5,2007-05,2007-05-05,2007-05-05,22,conta-22,Fornecedor,Dinheiro,133.42,Falta Pagar
406,2007,5,5,2007-05,2007-05-05,2007-05-05,23,conta-23,Fornecedor,Dinheiro,7.91,Falta Pagar
407,2007,5,6,2007-05,2007-05-06,2007-05-06,33,conta-33,Fornecedor,Dinheiro,135.00,Falta Pagar
410,2007,5,7,2007-05,2007-05-07,2007-05-07,22,conta-22,Fornecedor,Dinheiro,200.14,Falta Pagar
411,2007,5,7,2007-05,2007-05-07,2007-05-07,22,conta-22,Fornecedor,Dinheiro,11.86,Falta Pagar
412,2007,5,8,2007-05,2007-05-08,2007-05-08,25,conta-25,Despesa,Dinheiro,65.00,Falta Pagar
413,2007,5,9,2007-05,2007-05-09,2007-05-09,24,conta-24,Fornecedor,Dinheiro,92.14,Falta Pagar
415,2007,5,10,2007-05,2007-05-10,2007-05-10,49,conta-49,Fornecedor,Dinheiro,411.78,Falta Pagar
416,2007,5,10,2007-05,2007-05-10,2007-05-10,31,conta-31,Fornecedor,Dinheiro,2.84,Falta Pagar
417,2007,5,10,2007-05,2007-05-10,2007-05-10,29,conta-29,Fornecedor,Dinheiro,63.16,Falta Pagar
421,2007,5,10,2007-05,2007-05-10,2007-05-10,22,conta-22,Fornecedor,Dinheiro,133.42,Falta Pagar
422,2007,5,10,2007-05,2007-05-10,2007-05-10,23,conta-23,Fornecedor,Dinheiro,7.91,Falta Pagar
423,2007,5,12,2007-05,2007-05-12,2007-05-12,33,conta-33,Fornecedor,Dinheiro,143.16,Falta Pagar
424,2007,5,12,2007-05,2007-05-12,2007-05-12,22,conta-22,Fornecedor,Dinheiro,133.42,Falta Pagar
425,2007,5,12,2007-05,2007-05-12,2007-05-12,23,conta-23,Fornecedor,Dinheiro,7.91,Falta Pagar
426,2007,5,13,2007-05,2007-05-13,2007-05-13,33,conta-33,Fornecedor,Dinheiro,108.00,Falta Pagar
428,2007,5,14,2007-05,2007-05-14,2007-05-14,52,conta-52,Fornecedor,Dinheiro,194.10,Falta Pagar
430,2007,5,15,2007-05,2007-05-15,2007-05-15,33,conta-33,Fornecedor,Dinheiro,118.00,Falta Pagar
431,2007,5,15,2007-05,2007-05-15,2007-05-15,29,conta-29,Fornecedor,Dinheiro,257.03,Falta Pagar
432,2007,5,15,2007-05,2007-05-15,2007-05-15,31,conta-31,Fornecedor,Dinheiro,18.97,Falta Pagar
434,2007,5,15,2007-05,2007-05-15,2007-05-15,22,conta-22,Fornecedor,Dinheiro,133.45,Falta Pagar
435,2007,5,15,2007-05,2007-05-15,2007-05-15,23,conta-23,Fornecedor,Dinheiro,7.90,Falta Pagar
436,2007,5,15,2007-05,2007-05-15,2007-05-15,23,conta-23,Fornecedor,Dinheiro,7.91,Falta Pagar
437,2007,5,15,2007-05,2007-05-15,2007-05-15,22,conta-22,Fornecedor,Dinheiro,133.42,Falta Pagar
553,2007,6,16,2007-06,2007-06-16,2007-06-16,22,conta-22,Fornecedor,Dinheiro,133.42,Falta Pagar
554,2007,6,16,2007-06,2007-06-16,2007-06-16,23,conta-23,Fornecedor,Dinheiro,7.91,Falta Pagar
555,2007,6,16,2007-06,2007-06-16,2007-06-16,69,conta-69,Fornecedor,Dinheiro,136.36,Falta Pagar
556,2007,6,17,2007-06,2007-06-17,2007-06-17,22,conta-22,Fornecedor,Dinheiro,133.45,Falta Pagar
557,2007,6,17,2007-06,2007-06-17,2007-06-17,23,conta-23,Fornecedor,Dinheiro,7.90,Falta Pagar
558,2007,6,18,2007-06,2007-06-18,2007-06-18,24,conta-24,Fornecedor,Dinheiro,96.90,Falta Pagar
561,2007,6,19,2007-06,2007-06-19,2007-06-19,48,conta-48,Fornecedor,Dinheiro,25.00,Falta Pagar
562,2007,6,20,2007-06,2007-06-20,2007-06-20,32,conta-32,Fornecedor,Dinheiro,134.00,Falta Pagar
563,2007,6,20,2007-06,2007-06-20,2007-06-20,46,conta-46,Imposto,Dinheiro,127.24,Falta Pagar
564,2007,6,20,2007-06,2007-06-20,2007-06-20,22,conta-22,Fornecedor,Dinheiro,141.32,Falta Pagar
565,2007,6,21,2007-06,2007-06-21,2007-06-21,33,conta-33,Fornecedor,Dinheiro,135.00,Falta Pagar
566,2007,6,21,2007-06,2007-06-21,2007-06-21,26,conta-26,Despesa,Dinheiro,94.51,Falta Pagar
567,2007,6,21,2007-06,2007-06-21,2007-06-21,27,conta-27,Fornecedor,Dinheiro,235.67,Falta Pagar
568,2007,6,21,2007-06,2007-06-21,2007-06-21,22,conta-22,Fornecedor,Dinheiro,133.42,Falta Pagar
569,2007,6,21,2007-06,2007-06-21,2007-06-21,23,conta-23,Fornecedor,Dinheiro,7.91,Falta Pagar
570,2007,6,21,2007-06,2007-06-21,2007-06-21,22,conta-22,Fornecedor,Dinheiro,133.42,Falta Pagar
571,2007,6,22,2007-06,2007-06-22,2007-06-22,35,conta-35,Fornecedor,Dinheiro,137.14,Falta Pagar
572,2007,6,22,2007-06,2007-06-22,2007-06-22,25,conta-25,Despesa,Dinheiro,65.00,Falta Pagar
573,2007,6,23,2007-06,2007-06-23,2007-06-23,35,conta-35,Fornecedor,Dinheiro,113.93,Falta Pagar
574,2007,6,24,2007-06,2007-06-24,2007-06-24,32,conta-32,Fornecedor,Dinheiro,130.00,Falta Pagar
575,2007,6,24,2007-06,2007-06-24,2007-06-24,33,conta-33,Fornecedor,Dinheiro,110.00,Falta Pagar
577,2007,6,25,2007-06,2007-06-25,2007-06-25,33,conta-33,Fornecedor,Dinheiro,121.00,Falta Pagar
578,2007,6,25,2007-06,2007-06-25,2007-06-25,24,conta-24,Fornecedor,Dinheiro,96.90,Falta Pagar
579,2007,6,25,2007-06,2007-06-25,2007-06-25,40,conta-40,Fornecedor,Dinheiro,157.90,Falta Pagar
580,2007,6,25,2007-06,2007-06-25,2007-06-25,22,conta-22,Fornecedor,Dinheiro,141.32,Falta Pagar
581,2007,6,25,2007-06,2007-06-25,2007-06-25,22,conta-22,Fornecedor,Dinheiro,141.32,Falta Pagar
583,2007,6,26,2007-06,2007-06-26,2007-06-26,33,conta-33,Fornecedor,Dinheiro,120.00,Falta Pagar
584,2007,6,26,2007-06,2007-06-26,2007-06-26,22,conta-22,Fornecedor,Dinheiro,133.45,Falta Pagar
585,2007,6,26,2007-06,2007-06-26,2007-06-26,23,conta-23,Fornecedor,Dinheiro,7.90,Falta Pagar
586,2007,6,26,2007-06,2007-06-26,2007-06-26,13,conta-13,Despesa,Dinheiro,61.15,Falta Pagar
587,2007,6,27,2007-06,2007-06-27,2007-06-27,25,conta-25,Despesa,Dinheiro,65.00,Falta Pagar
591,2007,6,28,2007-06,2007-06-28,2007-06-28,38,conta-38,Fornecedor,Dinheiro,178.53,Falta Pagar
592,2007,6,28,2007-06,2007-06-28,2007-06-28,32,conta-32,Fornecedor,Dinheiro,125.00,Falta Pagar
593,2007,6,29,2007-06,2007-06-29,2007-06-29,33,conta-33,Fornecedor,Dinheiro,95.00,Falta Pagar
594,2007,6,29,2007-06,2007-06-29,2007-06-29,20,conta-20,Divida,Boleto,209.92,Pago
597,2007,6,30,2007-06,2007-06-30,2007-06-30,70,conta-70,Fornecedor,Dinheiro,96.40,Falta Pagar
598,2007,6,30,2007-06,2007-06-30,2007-06-30,25,conta-25,Despesa,Dinheiro,65.00,Falta Pagar
599,2007,6,30,2007-06,2007-06-30,2007-06-30,22,conta-22,Fornecedor,Dinheiro,141.37,Falta Pagar
600,2007,6,30,2007-06,2007-06-30,2007-06-30,22,conta-22,Fornecedor,Dinheiro,141.32,Falta Pagar
601,2007,6,30,2007-06,2007-06-30,2007-06-30,22,conta-22,Fornecedor,Dinheiro,141.32,Falta Pagar
608,2007,7,2,2007-07,2007-07-02,2007-07-02,32,conta-32,Fornecedor,Dinheiro,145.00,Falta Pagar
